"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"71","카레","니가타현","2014-12-05","4,320","불검출","불검출","적합"
"72","카레","니가타현","2014-12-04","1,200","불검출","불검출","적합"
"73","카레","니가타현","2014-10-20","1,200","불검출","불검출","적합"
"74","카레","니가타현","2014-10-20","1,200","불검출","불검출","적합"
"75","과자(스낵과자)","아이치현","2015-01-15","414","불검출","불검출","적합"
"76","향신료조제품","시즈오카현","2015-01-06","3,240","불검출","불검출","적합"
"77","혼합제제","도쿄도","2015-01-14","30","불검출","불검출","적합"
"78","캔디류(사탕)","니가타현","2015-01-07","224","불검출","불검출","적합"
"79","카레","나가노현","2014-12-01","500","불검출","불검출","적합"
"80","과자(스낵과자)","야마나시현","2015-01-08","399.17","불검출","불검출","적합"
"81","과자(스낵과자)","야마가타현","2015-01-07","361.15","불검출","불검출","적합"
"82","혼합제제","시가현","2015-01-21","25","불검출","불검출","적합"
"83","캔디류(사탕)","미에현","2015-01-08","256","불검출","불검출","적합"
"84","캔디류(사탕)","미에현","2014-12-23","90","불검출","불검출","적합"
"85","혼합제제","시즈오카현","2014-09-11","1,848","불검출","불검출","적합"
"86","혼합제제","사이타마현","2015-01-06","200","불검출","불검출","적합"
"87","혼합제제","시즈오카현","2015-01-07","25","불검출","불검출","적합"
"88","조미건어포류","아오모리현","2014-12-19","7.3","불검출","불검출","적합"
"89","발효식초","가고시마현","2014-11-26","110","불검출","불검출","적합"
"90","혼합제제","가나가와현","2015-01-09","14","불검출","불검출","적합"
"91","혼합제제","가나가와현","2015-01-09","17","불검출","불검출","적합"
"92","기타천연착향료","가나가와현","2014-12-29","160","불검출","불검출","적합"
"93","혼합제제","가나가와현","2015-01-09","37","불검출","불검출","적합"
"94","기타천연착향료","오카야마현","2014-07-07","105","불검출","불검출","적합"
"95","소주","니가타현","2014-09-24","86.4","불검출","불검출","적합"
"96","청주","교토부","2015-01-01","45","불검출","불검출","적합"
"97","청주","교토부","2015-01-01","90","불검출","불검출","적합"
"98","청주","오카야마현","2015-01-01","78","불검출","불검출","적합"
"99","소스류","기후현","2015-01-09","2,696.4","불검출","불검출","적합"
