"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수","","","","","","","","중량(㎏)",""
"합계","333","1,337,197","0","0","264","1,255,509","0","0","69","81,687"
"2.2","128","885,067","0","0","112","862,576","0","0","16","22,491"
"2.3","98","270,274","0","0","71","229,565","0","0","27","40,709"
"2.4","107","181,856","0","0","81","163,368","0","0","26","18,487"
"2.5","","","","","","","","","",""
"2.6","","","","","","","","","",""
