"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2017-08-29","14,954","불검출","불검출","적합"
"2","냉동명태","러시아","2017-08-29","285,813","불검출","불검출","적합"
"3","냉동가자미(검정가자미,F)","러시아","2017-08-29","7,000","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-08-29","10,029","불검출","불검출","적합"
"5","냉동꽁치","대만","2017-08-29","2,686","불검출","불검출","적합"
"6","마른명태","러시아","2017-08-29","10,200","불검출","불검출","적합"
"7","냉동가자미(첨치가자미,F)","미국","2017-08-29","10,000","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-08-29","343,106","불검출","불검출","적합"
"9","냉동대구","러시아","2017-08-29","430","불검출","불검출","적합"
"10","냉동대구","러시아","2017-08-29","161,135","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2017-08-29","8,320","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2017-08-29","20,384","불검출","불검출","적합"
