"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","2,117,334","-","-","-"
"1","냉동명태","러시아","2016-11-30","131,610","불검출","불검출","적합"
"2","마른어란
(날치알,캐비아대용)","인도네시아","2016-11-30","6,000","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-11-30","1,050,694","불검출","불검출","적합"
"4","냉동대구","러시아","2016-11-30","151","불검출","불검출","적합"
"5","냉동명태","러시아","2016-11-30","842,607","불검출","불검출","적합"
"6","냉동가자미","러시아","2016-11-30","1,742","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2016-11-30","20,660","불검출","불검출","적합"
"8","냉동명태","러시아","2016-11-30","21,000","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2016-11-30","22,630","불검출","불검출","적합"
"10","냉동가자미
(각시가자미)","러시아","2016-11-30","20,240","불검출","불검출","적합"
