"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","89,887","-","-","-"
"1","활돔(참돔)","에히메현","2016-12-01","8,761","불검출","불검출","적합"
"2","활방어","에히메현","2016-12-01","4,962","불검출","불검출","적합"
"3","활장어(먹장어)","나가사키현","2016-12-01","1,992","불검출","불검출","적합"
"4","냉장돔(황돔)","후쿠오카현","2016-12-01","105","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-12-01","840","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-12-01","4,260","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-12-01","3,000","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2016-12-01","860","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-12-01","2,500","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-12-01","2,750","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-12-01","2,750","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2016-12-01","377","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-12-01","1,200","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-12-01","2,700","불검출","불검출","적합"
"15","냉장대구","홋카이도","2016-12-01","600","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2016-12-01","1,636","불검출","불검출","적합"
