"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"48","빵류(그외 빵류)","나가노현","2016-11-02","242","불검출","불검출","적합"
"49","볶은커피","오사카부","","375","불검출","불검출","적합"
"50","볶은커피","오사카부","","368","불검출","불검출","적합"
"51","즉석조리식품","가나가와현","2016-10-26","12,237","불검출","불검출","적합"
"52","과자(크래커)","아이치현","2016-11-10","990","불검출","불검출","적합"
"53","소스류","구마모토현","2016-09-29","173","불검출","불검출","적합"
"54","청주","사가현","2016-06-10","259","불검출","불검출","적합"
"55","청주","도치기현","2016-04-18","130","불검출","불검출","적합"
"56","청주","사가현","2016-06-21","562","불검출","불검출","적합"
"57","혼합제제","오사카부","2016-11-09","17","불검출","불검출","적합"
"58","혼합제제","와카야마현","2016-11-02","525","불검출","불검출","적합"
"59","기타천연착향료","와카야마현","2016-10-21","45","불검출","불검출","적합"
"60","기타가공품","시즈오카현","2016-08-01","1,350","불검출","불검출","적합"
"61","혼합제제","오사카부","2016-11-09","45","불검출","불검출","적합"
"62","초콜릿가공품","훗카이도","2016-11-08","1,026","불검출","불검출","적합"
"63","초콜릿가공품","훗카이도","2016-11-08","513","불검출","불검출","적합"
"64","초콜릿가공품","후쿠오카현","2016-10-11","78","불검출","불검출","적합"
"65","볶은커피","오사카부","","384","불검출","불검출","적합"
"66","소스류","에히메현","2016-11-08","7,080","불검출","불검출","적합"
"67","혼합제제","도치기현","2016-10-24","120","불검출","불검출","적합"
"68","기타주류","야마나시현","2016-11-15","1,873","불검출","불검출","적합"
"69","소스류","후쿠오카현","2016-11-10","3,456","불검출","불검출","적합"
"70","탄산음료","오사카부","2016-09-26","1,200","불검출","불검출","적합"
"71","과자(스낵과자)","나가노현","2016-10-18","276","불검출","불검출","적합"
"72","과자(스낵과자)","아이치현","2016-10-27","480","불검출","불검출","적합"
"73","복합조미식품","사이타마현","2016-10-31","300","불검출","불검출","적합"
"74","유탕면류","이바라키현","2016-10-25","299","불검출","불검출","적합"
"75","과자(웨이퍼)","아이치현","2016-11-07","205","불검출","불검출","적합"
"76","소스류","에히메현","2016-10-13","864","불검출","불검출","적합"
"77","탄산수소암모늄","도야마현","2016-11-02","18,000","불검출","불검출","적합"
"78","글리세린지방산에
스테르","효고현","2016-09-22","75","불검출","불검출","적합"
"79","합성착향료","사이타마현","2016-09-21","20","불검출","불검출","적합"
"80","헤미셀룰라아제","아이치현","2016-07-13","7","불검출","불검출","적합"
"81","소스류","에히메현","2016-08-19","1,872","불검출","불검출","적합"
