"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"23","냉장갈치","야마구치현","2014-10-22","1,085","불검출","불검출","적합"
"24","냉장갈치","야마구치현","2014-10-22","1,200","불검출","불검출","적합"
"25","냉장준치","구마모토현","2014-10-22","448","불검출","불검출","적합"
"26","냉장갈치","구마모토현","2014-10-22","64","불검출","불검출","적합"
"27","냉장갈치","에히메현","2014-10-22","224","불검출","불검출","적합"
"28","냉장갈치","와카야마현","2014-10-22","744","불검출","불검출","적합"
"29","활가리비","홋카이도","2014-10-22","11,968","불검출","불검출","적합"
"30","활바리(자바리)","구마모토현","2014-10-22","484","불검출","불검출","적합"
"31","활우렁쉥이","홋카이도","2014-10-22","8,560","불검출","불검출","적합"
"32","냉장갈치","오이타현","2014-10-22","2,330","불검출","불검출","적합"
"33","냉장갈치","에히메현","2014-10-22","488","불검출","불검출","적합"
"34","냉장갈치","와카야마현","2014-10-22","1,032","불검출","불검출","적합"
"35","냉장갈치","히로시마현","2014-10-22","726","불검출","불검출","적합"
"36","냉장갈치","후쿠오카현","2014-10-22","305","불검출","불검출","적합"
"37","냉장민어(수조기)","가가와현","2014-10-22","50","불검출","불검출","적합"
"38","활가리비","홋카이도","2014-10-22","6,462","불검출","불검출","적합"
"39","활꼬막","사가현","2014-10-22","1,000","불검출","불검출","적합"
"40","활꼬막(새꼬막)","사가현","2014-10-22","2,200","불검출","불검출","적합"
"41","활꼬막","사가현","2014-10-22","1,020","불검출","불검출","적합"
"42","활꼬막(새꼬막)","사가현","2014-10-22","2,240","불검출","불검출","적합"
"43","활게(참게)","오이타현","2014-10-22","397","불검출","불검출","적합"
