"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 84건","","","","223,896","","",""
"1","기타 주류","효고현","2018-03-23","90,720","불검출","불검출","적합"
"2","혼합제제","효고현","2018-03-30","17","불검출","불검출","적합"
"3","혼합제제","군마현","2018-03-26","100","불검출","불검출","적합"
"4","향미유","사이타마현","2018-03-12","35","불검출","불검출","적합"
"5","소스","사이타마현","2018-02-23","550","불검출","불검출","적합"
"6","절임식품","야마가타현","2018-03-22","450","불검출","불검출","적합"
"7","향미유","사이타마현","2018-02-14","70","불검출","불검출","적합"
"8","글리세린지방산
에스테르","미에현","2018-01-10","16","불검출","불검출","적합"
"9","소스류","시즈오카현","2018-02-21","200","불검출","불검출","적합"
"10","소스","오사카부","2018-03-29","4,000","불검출","불검출","적합"
"11","혼합장","아이치현","2018-03-30","3,663","불검출","불검출","적합"
"12","소스","후쿠오카현","2018-03-28","13,500","불검출","불검출","적합"
"13","복합조미식품","효고현","2018-03-09","960","불검출","불검출","적합"
