"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","182,485","-","-","-"
"1","냉동곤이(명태)","러시아","2017-02-16","9,090","불검출","불검출","적합"
"2","냉동곤이(명태)","러시아","2017-02-16","8,415","불검출","불검출","적합"
"3","냉동곤이(명태)","러시아","2017-02-16","39,690","불검출","불검출","적합"
"4","냉동대구(목살)","러시아","2017-02-16","11,917","불검출","불검출","적합"
"5","냉동가자미
(각시가자미)","러시아","2017-02-16","22,050","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2017-02-16","5,850","불검출","불검출","적합"
"7","냉동가자미
(까지가자미)","러시아","2017-02-16","7,750","불검출","불검출","적합"
"8","냉동꽁치","바누아투","2017-02-16","5,973","불검출","불검출","적합"
"9","냉동가자미
(각시가자미)","러시아","2017-02-16","22,500","불검출","불검출","적합"
"10","마른명태","러시아","2017-02-16","4,000","불검출","불검출","적합"
"11","냉동가자미
(각시가자미)","러시아","2017-02-16","22,750","불검출","불검출","적합"
"12","냉동가자미
(각시가자미)","러시아","2017-02-16","22,500","불검출","불검출","적합"
