"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"37","냉장갈치","오이타현","2016-11-17","1,110","불검출","불검출","적합"
"38","냉장갈치","미야자키현","2016-11-17","200","불검출","불검출","적합"
"39","냉장돔(황돔)","야마구치현","2016-11-17","115","불검출","불검출","적합"
"40","냉장돔(황돔)","나가사키현","2016-11-17","88","불검출","불검출","적합"
"41","냉장명태","홋카이도","2016-11-17","3,004","불검출","불검출","적합"
"42","활꼬막","후쿠오카현","2016-11-17","800","불검출","불검출","적합"
"43","냉장명태","홋카이도","2016-11-17","2,030","불검출","불검출","적합"
"44","냉장홍어","홋카이도","2016-11-17","4,285","불검출","불검출","적합"
"45","활가리비","홋카이도","2016-11-17","7,145","불검출","불검출","적합"
"46","활가리비","홋카이도","2016-11-17","6,975","불검출","불검출","적합"
"47","활가리비","홋카이도","2016-11-17","7,494","불검출","불검출","적합"
"48","활우렁쉥이","홋카이도","2016-11-17","8,903","불검출","불검출","적합"
"49","활가리비","홋카이도","2016-11-17","7,218","불검출","불검출","적합"
"50","활가리비","홋카이도","2016-11-17","13,818","불검출","불검출","적합"
"51","활우렁쉥이","홋카이도","2016-11-17","8,475","불검출","불검출","적합"
