"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,183,693.4","-","-","-"
"1","냉동가자미","러시아","2016-11-21","1,054","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-11-21","22,464","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-11-21","22,752","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-11-21","22,560","불검출","불검출","적합"
"5","냉동꽁치","대만","2016-11-21","203,106.4","불검출","불검출","적합"
"6","냉동꽁치","대만","2016-11-21","67,782","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-11-21","44,388","불검출","불검출","적합"
"8","냉동가자미","러시아","2016-11-21","237","불검출","불검출","적합"
"9","냉동명태","러시아","2016-11-21","5,000","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-11-21","163,603","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-11-21","103,455","불검출","불검출","적합"
"12","마른명태","러시아","2016-11-21","4,654","불검출","불검출","적합"
"13","냉동꽁치","대만","2016-11-21","199,551","불검출","불검출","적합"
"14","냉동꽁치","대만","2016-11-21","44,990","불검출","불검출","적합"
"15","냉동꽁치","대만","2016-11-21","155,659","불검출","불검출","적합"
"16","냉동대구","러시아","2016-11-21","88,597","불검출","불검출","적합"
"17","냉동가자미
(각시가자미)","러시아","2016-11-21","22,050","불검출","불검출","적합"
