"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"21","냉장병어","야마구치현","2018-04-17","560","불검출","불검출","적합"
"22","냉장갈치","후쿠오카현","2018-04-17","890","불검출","불검출","적합"
"23","냉장병어","효고현","2018-04-17","16","불검출","불검출","적합"
"24","냉장명태","홋카이도","2018-04-17","1,950","불검출","불검출","적합"
"25","냉장홍어","홋카이도","2018-04-17","3,071","불검출","불검출","적합"
"26","냉장명태","홋카이도","2018-04-17","2,600","불검출","불검출","적합"
"27","활돔(참돔)","에히메현","2018-04-17","11,952","불검출","불검출","적합"
"28","냉장명태","홋카이도","2018-04-17","960","불검출","불검출","적합"
"29","냉장명태","홋카이도","2018-04-17","276","불검출","불검출","적합"
"30","냉장대구","홋카이도","2018-04-17","2,448","불검출","불검출","적합"
"31","냉장명태","홋카이도","2018-04-17","1,326","불검출","불검출","적합"
"32","활돔(돌돔)","가나가와현","2018-04-17","1,162","불검출","불검출","적합"
"33","냉장갈치","후쿠오카현","2018-04-17","245","불검출","불검출","적합"
"34","냉장준치","효고현","2018-04-17","910","불검출","불검출","적합"
"35","냉장홍어","야마구치현","2018-04-17","300","불검출","불검출","적합"
"36","냉장명태","홋카이도","2018-04-17","1,339","불검출","불검출","적합"
"37","냉장명태","홋카이도","2018-04-17","3,900","불검출","불검출","적합"
"38","냉장대구","홋카이도","2018-04-17","3,010","불검출","불검출","적합"
"합계","","-","-","107,879","-","-","-"
