"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","활우렁쉥이","홋카이도","2017-11-02","7,454","불검출","불검출","적합"
"2","냉장홍어","야마구치현","2017-11-02","330","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2017-11-02","6,227","불검출","불검출","적합"
"4","활가리비","홋카이도","2017-11-02","3,974","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2017-11-02","9,598","불검출","불검출","적합"
"6","활꼬막","사가현","2017-11-02","1,560","불검출","불검출","적합"
"7","활장어(먹장어)","후쿠오카현","2017-11-02","563","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2017-11-02","3,545","불검출","불검출","적합"
"9","냉장명태","홋카이도","2017-11-02","3,900","불검출","불검출","적합"
"10","냉장갈치","후쿠오카현","2017-11-02","95","불검출","불검출","적합"
"11","냉장돔(황돔)","후쿠오카현","2017-11-02","440","불검출","불검출","적합"
"12","활가리비","홋카이도","2017-11-02","7,300","불검출","불검출","적합"
"13","활가리비","홋카이도","2017-11-02","990","불검출","불검출","적합"
"14","냉장다랑어(참다랑어)","나가사키현","2017-11-02","90","불검출","불검출","적합"
"15","활가리비","홋카이도","2017-11-02","5,970","불검출","불검출","적합"
"16","활우렁쉥이","홋카이도","2017-11-02","3,207","불검출","불검출","적합"
"17","냉장돔(황돔)","나가사키현","2017-11-02","424","불검출","불검출","적합"
"18","활우렁쉥이","홋카이도","2017-11-02","8,652","불검출","불검출","적합"
"19","냉장돔(금눈돔)","후쿠오카현","2017-11-02","6","불검출","불검출","적합"
"20","냉장돔(황돔)","야마구치현","2017-11-02","536","불검출","불검출","적합"
