"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2017-11-03","44,630","불검출","불검출","적합"
"2","냉동꽁치","대만","2017-11-03","45,160","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2017-11-03","3,050","불검출","불검출","적합"
"4","냉동다랑어(눈다랑어,목살)","중국","2017-11-03","163","불검출","불검출","적합"
"5","냉동명태","러시아","2017-11-03","24,000","불검출","불검출","적합"
"6","냉동대구(F)","러시아","2017-11-03","1,150","불검출","불검출","적합"
"7","냉동꽁치","대만","2017-11-03","45,308","불검출","불검출","적합"
"8","냉동대구(F)","러시아","2017-11-03","1,030","불검출","불검출","적합"
"9","냉동다랑어(눈다랑어,목살)","대만","2017-11-03","520","불검출","불검출","적합"
"10","냉동상어(청상아리,F)","대만","2017-11-03","451","불검출","불검출","적합"
"11","냉동어란(명란)","러시아","2017-11-03","26,752","불검출","불검출","적합"
"12","냉동대구(목살)","러시아","2017-11-03","1,680","불검출","불검출","적합"
