"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉장돔(황돔)","야마구치현","2017-11-01","896","불검출","불검출","적합"
"2","냉장명태","홋카이도","2017-11-01","1,300","불검출","불검출","적합"
"3","냉동다랑어(날개다랑어,F,횟감)","태평양","2017-11-01","13,500","불검출","불검출","적합"
"4","냉장명태","홋카이도","2017-11-01","2,500","불검출","불검출","적합"
"5","활가리비","홋카이도","2017-11-01","1,558","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2017-11-01","6,880","불검출","불검출","적합"
"7","활가리비","홋카이도","2017-11-01","13,944","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2017-11-01","9,000","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2017-11-01","3,950","불검출","불검출","적합"
"10","냉장갈치","오이타현","2017-11-01","225","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2017-11-01","180","불검출","불검출","적합"
"12","냉장돔(황돔)","야마구치현","2017-11-01","405","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-11-01","1,200","불검출","불검출","적합"
"14","활가리비","홋카이도","2017-11-01","3,142","불검출","불검출","적합"
"15","냉장명태","홋카이도","2017-11-01","3,900","불검출","불검출","적합"
"16","활우렁쉥이","홋카이도","2017-11-01","12,925","불검출","불검출","적합"
"17","냉동새치(돛새치)","태평양","2017-11-01","2,816","불검출","불검출","적합"
"18","냉장명태","홋카이도","2017-11-01","3,250","불검출","불검출","적합"
"19","활우렁쉥이","홋카이도","2017-11-01","7,501","불검출","불검출","적합"
"20","냉장명태","홋카이도","2017-11-01","1,950","불검출","불검출","적합"
