"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 134건","","","","359,963","","",""
"1","소스류","군마현","2017-08-05","1,121","불검출","불검출","적합"
"2","소스류","효고현","2017-08-09","150","불검출","불검출","적합"
"3","맥주","후쿠오카현","2017-10-05","46,008","불검출","불검출","적합"
"4","맥주","후쿠오카현","2017-09-01","34,896","불검출","불검출","적합"
"5","맥주","후쿠오카현","2017-10-02","9,696","불검출","불검출","적합"
"6","혼합제제","나가노현","2017-10-10","75","불검출","불검출","적합"
"7","혼합제제","미에현","2017-09-12","1,000","불검출","불검출","적합"
"8","소스류","후쿠오카현","2017-10-07","660","불검출","불검출","적합"
"9","과자(스낵과자)","이바라키현","2017-10-10","1,246","불검출","불검출","적합"
"10","과자(스낵과자)","이바라키현","2017-10-04","1,080","불검출","불검출","적합"
"11","혼합제제","이바라키현","2017-10-04","240","불검출","불검출","적합"
"12","양조간장","후쿠오카현","2017-10-12","2,150","불검출","불검출","적합"
"13","청주","이와테현","2017-10-10","360","불검출","불검출","적합"
