"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"48","고형차","효고현","2016-07-12","5,400","불검출","불검출","적합"
"49","과자(스낵과자)","고치현","2016-06-23","213","불검출","불검출","적합"
"50","탄산수소암모늄","도야마현","2016-05-30","18,000","불검출","불검출","적합"
"51","캔디류(양갱)","도쿄도","2016-07-04","165","불검출","불검출","적합"
"52","청주","아키타현","2016-07-11","43","불검출","불검출","적합"
"53","청주","후쿠이현","2016-02-05","43","불검출","불검출","적합"
"54","과자(스낵과자)","나가노현","2016-06-20","276","불검출","불검출","적합"
"55","볶은커피","효고현","2016-03-10","82","불검출","불검출","적합"
"56","고구마전분","가고시마현","2015-11-19","37,000","불검출","불검출","적합"
"57","청주","사이타마현","2016-06-22","1,511","불검출","불검출","적합"
"58","국수","후쿠오카현","2015-10-27","60","불검출","불검출","적합"
"59","빵류(그외 빵류)","돗토리현","2016-07-08","372","불검출","불검출","적합"
"60","카레","나가노현","2016-06-27","1,000","불검출","불검출","적합"
"61","장류절임","나가노현","2016-07-08","200","불검출","불검출","적합"
"62","청주","효고현","2016-06-24","216","불검출","불검출","적합"
"63","볶은커피","효고현","2016-03-10","82","불검출","불검출","적합"
"64","소스류","에히메현","2016-05-27","1,872","불검출","불검출","적합"
"65","청주","효고현","2016-06-16","90","불검출","불검출","적합"
"66","복합조미식품","가나가와현","2016-06-10","69,720","불검출","불검출","적합"
"67","청주","효고현","2016-06-21","432","불검출","불검출","적합"
"68","소스류","후쿠오카현","2016-07-08","202","불검출","불검출","적합"
"69","청주","효고현","2016-07-11","2,258","불검출","불검출","적합"
"70","고형차","아이치현","2016-07-13","1,920","불검출","불검출","적합"
"71","혼합제제","도쿄도","2016-07-19","15","불검출","불검출","적합"
"72","볶은커피","사이타마현","2016-06-08","1,200","불검출","불검출","적합"
"73","두류가공품","시가현","2016-06-07","405","불검출","불검출","적합"
"74","볶은커피","효고현","2016-03-03","74","불검출","불검출","적합"
"75","소스류","효고현","2016-07-20","11,951","불검출","불검출","적합"
"76","과자(비스킷)","니가타현","2016-07-05","235","불검출","불검출","적합"
"77","국수","훗카이도","2016-06-03","21","불검출","불검출","적합"
"78","소스류","훗카이도","2016-07-04","239","불검출","불검출","적합"
"79","캔디류(사탕)","미에현","2016-05-01","211","불검출","불검출","적합"
"80","소스류","군마현","2016-06-06","24","불검출","불검출","적합"
"81","위스키","야마나시현","2016-05-30","437","불검출","불검출","적합"
"82","혼합제제","히로시마현","2016-07-08","30","불검출","불검출","적합"
