"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","68,513","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-05-23","9,293","불검출","불검출","적합"
"2","활장어 먹장어
(
)","후쿠오카현","2016-05-23","4,307","불검출","불검출","적합"
"3","냉동가리비","홋카이도","2016-05-23","2,000","불검출","불검출","적합"
"4","냉동가리비","홋카이도","2016-05-23","7,000","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2016-05-23","960","불검출","불검출","적합"
"6","냉장갈치","에히메현","2016-05-23","440","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-05-23","2,556","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-05-23","564","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-05-23","97","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-05-23","2,544","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-05-23","564","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-05-23","1,486","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2016-05-23","1,368","불검출","불검출","적합"
"14","냉장준치","효고현","2016-05-23","672","불검출","불검출","적합"
"15","냉장돔 황돔(
)","야마구치현","2016-05-23","95","불검출","불검출","적합"
"16","냉장가오리","야마구치현","2016-05-23","160","불검출","불검출","적합"
