"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장홍어","홋카이도","2016-05-23","3,343","불검출","불검출","적합"
"18","냉장돔 황돔(
)","야마구치현","2016-05-23","75","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-05-23","1,020","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-05-23","1,972","불검출","불검출","적합"
"21","냉장갈치","야마구치현","2016-05-23","415","불검출","불검출","적합"
"22","활돔 돌돔(
)","나가사키현","2016-05-23","950","불검출","불검출","적합"
"23","냉장갈치","와카야마현","2016-05-23","2,024","불검출","불검출","적합"
"24","냉장갈치","히로시마현","2016-05-23","70","불검출","불검출","적합"
"25","냉장갈치","오이타현","2016-05-23","120","불검출","불검출","적합"
"26","냉장갈치","에히메현","2016-05-23","180","불검출","불검출","적합"
"27","냉동고등어","가고시마현","2016-05-23","13,245","불검출","불검출","적합"
"28","냉동멸치","가고시마현","2016-05-23","9,585","불검출","불검출","적합"
"29","냉장갈치","와카야마현","2016-05-23","1,408","불검출","불검출","적합"
