"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"48","청주","나라현","2016-04-09","86","불검출","불검출","적합"
"49","볶은커피","아이치현","2016-03-31","120","불검출","불검출","적합"
"50","즉석조리식품","가가와현","2016-03-26","4,992","불검출","불검출","적합"
"51","식초절임(생강절임)","도치기현","2016-04-22","160","불검출","불검출","적합"
"52","혼합제제","사이타마현","2016-02-09","32","불검출","불검출","적합"
"53","볶은커피","지바현","2016-03-18","168","불검출","불검출","적합"
"54","볶은커피","지바현","2016-04-07","360","불검출","불검출","적합"
"55","볶은커피","지바현","2016-04-05","304","불검출","불검출","적합"
"56","볶은커피","지바현","2016-03-25","152","불검출","불검출","적합"
"57","위스키","오사카부","2016-01-25","454","불검출","불검출","적합"
"58","청주","나라현","2016-04-15","216","불검출","불검출","적합"
"59","합성착향료","도쿄도","2015-11-09","3,000","불검출","불검출","적합"
"60","혼합제제","사이타마현","2016-04-22","60","불검출","불검출","적합"
"61","커피/건조","브라질","2014-11-26","2,400","불검출","불검출","적합"
"62","혼합제제","오사카부","2016-04-27","300","불검출","불검출","적합"
"63","비트레드","오사카부","2016-04-25","102","불검출","불검출","적합"
"64","혼합제제","오사카부","2016-04-28","105","불검출","불검출","적합"
"65","미소섬유상셀룰로오스","효고현","2016-03-16","500","불검출","불검출","적합"
"66","식초절임","사이타마현","2016-04-22","30","불검출","불검출","적합"
"67","혼합제제","가나가와현","2016-04-22","100","불검출","불검출","적합"
"68","청주","미에현","2016-04-01","324","불검출","불검출","적합"
"69","혼합제제","나가노현","2016-04-26","100","불검출","불검출","적합"
"70","혼합제제","시가현","2016-03-18","300","불검출","불검출","적합"
"71","혼합제제","사이타마현","2016-02-19","120","불검출","불검출","적합"
"72","L-멘톨","시즈오카현","2015-06-19","100","불검출","불검출","적합"
"73","비타민C","도야마현","2015-05-09","1,000","불검출","불검출","적합"
"74","기타가공품","도야마현","2015-05-09","370","불검출","불검출","적합"
"75","고구마전분","가고시마현","2015-11-03","37,000","불검출","불검출","적합"
"76","과자(스낵과자)","니가타현","2016-04-12","109","불검출","불검출","적합"
"77","과자(쿠키)","도쿠시마현","2016-05-03","525","불검출","불검출","적합"
"78","과자(스낵과자)","니가타현","2016-04-15","46","불검출","불검출","적합"
"79","과자(스낵과자)","니가타현","2016-04-09","104","불검출","불검출","적합"
"80","소스류","나가사키현","2016-04-06","1,254","불검출","불검출","적합"
"81","치자청색소","효고현","2016-05-10","50","불검출","불검출","적합"
