"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"150","소스류","히로시마현","2017-07-25","615","불검출","불검출","적합"
"151","소스류","히로시마현","2017-08-07","2,640","불검출","불검출","적합"
"152","소스류","히로시마현","2017-07-20","1,967","불검출","불검출","적합"
"153","소스류","히로시마현","2017-07-27","108","불검출","불검출","적합"
"154","곡류가공품","시즈오카현","2017-06-06","2,000","불검출","불검출","적합"
"155","소스류","히로시마현","2017-08-02","1,980","불검출","불검출","적합"
"156","소스류","히로시마현","2017-07-05","1,835","불검출","불검출","적합"
"157","청주","니가타현","2017-08-04","259","불검출","불검출","적합"
"158","숙면","효고현","2017-08-02","6,480","불검출","불검출","적합"
"159","캔디류(사탕)","나라현","2017-08-03","78","불검출","불검출","적합"
"160","캔디류(사탕)","나라현","2017-08-10","76","불검출","불검출","적합"
"161","향신료조제품
(겨자가공품)","기후현","2017-05-09","54","불검출","불검출","적합"
"162","과자(쿠키)","이바라키현","2017-07-13","276","불검출","불검출","적합"
"163","과자(쿠키)","이바라키현","2017-07-28","228","불검출","불검출","적합"
