"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","569,631","","",""
"1","과자(비스킷)","훗카이도","2017-08-09","112","불검출","불검출","적합"
"2","기타가공품","오사카부","2017-07-27","31","불검출","불검출","적합"
"3","청주","아키타현","2017-08-05","346","불검출","불검출","적합"
"4","청주","아키타현","2017-08-01","346","불검출","불검출","적합"
"5","청주","아키타현","2017-08-10","1,037","불검출","불검출","적합"
"6","커피/건조","브라질","2015-12-01","1,080","불검출","불검출","적합"
"7","청주","아키타현","2017-08-04","1,037","불검출","불검출","적합"
"8","청주","아키타현","2017-07-05","691","불검출","불검출","적합"
"9","소스류","훗카이도","2017-08-19","72","불검출","불검출","적합"
"10","조미된장","훗카이도","2017-08-19","800","불검출","불검출","적합"
"11","초콜릿","훗카이도","2017-08-31","72","불검출","불검출","적합"
"12","밀크초콜릿","훗카이도","2017-08-31","113","불검출","불검출","적합"
"13","가공두부","후쿠오카현","2017-08-04","12,060","불검출","불검출","적합"
