"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 163건","","","","736,186","","",""
"1","청주","효고현","2017-07-05","140","불검출","불검출","적합"
"2","청주","효고현","2017-08-01","1,080","불검출","불검출","적합"
"3","청주","효고현","2017-08-01","5,940","불검출","불검출","적합"
"4","청주","효고현","2017-08-01","3,780","불검출","불검출","적합"
"5","청주","효고현","2017-07-25","360","불검출","불검출","적합"
"6","청주","효고현","2017-06-05","150","불검출","불검출","적합"
"7","청주","효고현","2017-07-04","396","불검출","불검출","적합"
"8","청주","효고현","2017-07-10","432","불검출","불검출","적합"
"9","청주","효고현","2017-03-13","173","불검출","불검출","적합"
"10","청주","효고현","2017-07-07","576","불검출","불검출","적합"
"11","카레","나라현","2017-06-20","6,000","불검출","불검출","적합"
"12","빵류(케이크)","훗카이도","2017-06-29","66","불검출","불검출","적합"
"13","고형차","교토부","2017-08-22","1,600","불검출","불검출","적합"
