"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 99건","","","","179,922","","",""
"1","혼합제제","오사카부","2019-07-19","50","불검출","불검출","적합"
"2","혼합제제","오사카부","2019-07-19","50","불검출","불검출","적합"
"3","호박산","효고현","2019-06-07","13,000","불검출","불검출","적합"
"4","혼합제제","오사카부","2019-03-19","2,480","불검출","불검출","적합"
"5","호박산이나트륨","효고현","2019-06-16","2,700","불검출","불검출","적합"
"6","혼합제제","사이타마현","2019-06-17","612","불검출","불검출","적합"
"7","밀가루","후쿠오카현","2019-07-08","2,380","불검출","불검출","적합"
"8","곡류가공품","오사카부","2019-07-12","20","불검출","불검출","적합"
"9","조림류","훗카이도","2019-07-10","720","불검출","불검출","적합"
"10","당류가공품","오사카부","2019-07-19","468","불검출","불검출","적합"
"11","소스","야마구치현","2019-01-21","140","불검출","불검출","적합"
"12","소스","야마구치현","2019-05-24","140","불검출","불검출","적합"
"13","청주","야마구치현","2019-06-19","333","불검출","불검출","적합"
"14","발효식초","나라현","2019-05-10","102","불검출","불검출","적합"
"15","기타천연착향료","오사카부","2019-06-18","110","불검출","불검출","적합"
