"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","347","1,602,084","2","486,000","292","1,065,210","0","0","53","50,875"
"11.20","117","760,711","1","246,000","104","513,812","0","0","12","899"
"11.21","95","538,057","1","240,000","80","278,464","0","0","14","19,594"
"11.22","135","303,316","0","0","108","272,934","0","0","27","30,382"
"","","","","","","","","","",""
"","","","","","","","","","",""
