"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","맥주","후쿠오카현","2017-08-08","52,344","불검출","불검출","적합"
"61","맥주","후쿠오카현","2017-09-01","16,783","불검출","불검출","적합"
"62","맥주","후쿠오카현","2017-11-01","17,448","불검출","불검출","적합"
"63","국수","나가사키현","2017-09-18","720","불검출","불검출","적합"
"64","맥주","후쿠오카현","2017-10-25","139,584","불검출","불검출","적합"
"65","맥주","후쿠오카현","2017-10-10","50,350","불검출","불검출","적합"
"66","국수","나가사키현","2017-10-30","1,800","불검출","불검출","적합"
"67","맥주","후쿠오카현","2017-10-27","71,280","불검출","불검출","적합"
"68","청주","아이치현","2017-10-11","184","불검출","불검출","적합"
"69","청주","아이치현","2017-09-12","612","불검출","불검출","적합"
"70","혼합제제","가나가와현","2017-10-27","120","불검출","불검출","적합"
"71","혼합제제","히로시마현","2017-10-05","120","불검출","불검출","적합"
"72","혼합제제","히로시마현","2017-10-23","400","불검출","불검출","적합"
"73","청국장","미에현","2017-10-23","6,480","불검출","불검출","적합"
"74","혼합제제","히로시마현","2017-10-17","100","불검출","불검출","적합"
"75","기타천연착향료","시즈오카현","2017-10-06","300","불검출","불검출","적합"
"76","청주","교토부","2017-10-19","4,500","불검출","불검출","적합"
"77","캔디류(사탕)","니가타현","2017-10-11","2,307","불검출","불검출","적합"
"78","소주","교토부","2017-10-31","6,221","불검출","불검출","적합"
"79","액상차","미에현","2017-06-12","2,400","불검출","불검출","적합"
"80","탄산음료","아이치현","2017-09-27","600","불검출","불검출","적합"
"81","자일리톨","","2017-05-28","20,000","불검출","불검출","적합"
"82","초콜릿가공품","오사카부","2017-10-10","4,032","불검출","불검출","적합"
"83","혼합제제","오사카부","2017-10-27","100","불검출","불검출","적합"
"84","청주","교토부","2017-11-06","6,998","불검출","불검출","적합"
