"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","소스류","히로시마현","2017-10-26","1,290","불검출","불검출","적합"
"36","소스류","히로시마현","2017-10-16","1,980","불검출","불검출","적합"
"37","소스류","히로시마현","2017-10-14","675","불검출","불검출","적합"
"38","소스류","히로시마현","2017-10-06","1,322","불검출","불검출","적합"
"39","소스류","히로시마현","2017-10-18","1,260","불검출","불검출","적합"
"40","곡류가공품","시즈오카현","2017-08-01","1,000","불검출","불검출","적합"
"41","소스류","히로시마현","2017-10-04","6,300","불검출","불검출","적합"
"42","소스류","히로시마현","2017-10-05","2,443","불검출","불검출","적합"
"43","캔디류(캐러멜)","도치기현","2017-10-06","6,757","불검출","불검출","적합"
"44","과자(스낵과자)","니가타현","2017-10-19","612","불검출","불검출","적합"
"45","곡류가공품","아이치현","2017-10-13","1,656","불검출","불검출","적합"
"46","소주","가고시마현","2017-03-27","43","불검출","불검출","적합"
"47","청주","기후현","2017-10-30","227","불검출","불검출","적합"
"48","양조간장","효고현","2017-08-31","2,160","불검출","불검출","적합"
"49","즉석조리식품","나가노현","2017-10-19","672","불검출","불검출","적합"
"50","초콜릿가공품","후쿠오카현","2017-09-01","728","불검출","불검출","적합"
"51","혼합제제","오사카부","2017-10-26","306","불검출","불검출","적합"
"52","청주","효고현","2017-10-06","384","불검출","불검출","적합"
"53","혼합제제","오사카부","2017-10-25","51","불검출","불검출","적합"
"54","과자(스낵과자)","니가타현","2017-11-02","1,326","불검출","불검출","적합"
"55","혼합제제","도쿄도","2017-10-27","40","불검출","불검출","적합"
"56","청주","효고현","2017-10-26","15,552","불검출","불검출","적합"
"57","청주","도치기현","2017-10-26","11,232","불검출","불검출","적합"
"58","청주","도치기현","2017-10-12","10,080","불검출","불검출","적합"
"59","어묵","시마네현","2017-10-01","2,646","불검출","불검출","적합"
