"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"85","청주","교토부","2017-10-31","3,391","불검출","불검출","적합"
"86","청주","교토부","2017-10-31","11,232","불검출","불검출","적합"
"87","혼합제제","사이타마현","2017-10-27","1,026","불검출","불검출","적합"
"88","혼합제제","사이타마현","2017-10-26","100","불검출","불검출","적합"
"89","기타천연착향료","사이타마현","2017-08-28","18","불검출","불검출","적합"
"90","혼합제제","사이타마현","2017-09-29","342","불검출","불검출","적합"
"91","혼합제제","사이타마현","2017-10-26","100","불검출","불검출","적합"
"92","혼합제제","사이타마현","2017-10-26","18","불검출","불검출","적합"
"93","혼합제제","사이타마현","2017-09-28","108","불검출","불검출","적합"
"94","혼합제제","사이타마현","2017-10-25","36","불검출","불검출","적합"
"95","혼합제제","사이타마현","2017-08-28","200","불검출","불검출","적합"
"96","혼합제제","사이타마현","2017-10-26","2,040","불검출","불검출","적합"
"97","혼합제제","사이타마현","2017-10-27","54","불검출","불검출","적합"
"98","혼합제제","사이타마현","2017-10-26","360","불검출","불검출","적합"
"99","혼합제제","사이타마현","2017-10-24","160","불검출","불검출","적합"
"100","혼합제제","사이타마현","2017-08-07","108","불검출","불검출","적합"
"101","혼합제제","사이타마현","2017-09-29","32","불검출","불검출","적합"
"102","혼합제제","사이타마현","2017-09-28","154","불검출","불검출","적합"
"103","혼합제제","사이타마현","2017-10-26","50","불검출","불검출","적합"
"104","혼합제제","사이타마현","2017-02-27","96","불검출","불검출","적합"
"105","혼합제제","사이타마현","2017-08-29","105","불검출","불검출","적합"
"106","혼합제제","사이타마현","2017-10-27","36","불검출","불검출","적합"
"107","혼합제제","사이타마현","2017-09-29","252","불검출","불검출","적합"
