"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","1,122,993","-","-","-"
"1","냉동가자미(말가자미)","미국","2014-9-26","208","불검출","불검출","적합"
"2","냉동다랑어(눈다랑어,목살) 중국","","2014-9-26","1,277","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2014-9-26","23,158","불검출","불검출","적합"
"4","냉동명태","러시아","2014-9-26","522,235","불검출","불검출","적합"
"5","냉동명태","러시아","2014-9-26","491,383","불검출","불검출","적합"
"6","냉동상어(곱상어)","미국","2014-9-26","11,058","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-9-26","25,175","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-9-26","25,175","불검출","불검출","적합"
"9","냉동명태(F)","미국","2014-9-26","1,027","불검출","불검출","적합"
"10","냉동가자미(각시가자미,F) 미국","","2014-9-26","1,027","불검출","불검출","적합"
"11","냉동명태","러시아","2014-9-26","21,270","불검출","불검출","적합"
