"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","85,627","-","-","-"
"1","활가리비","홋카이도","2016-07-08","8,000","불검출","불검출","적합"
"2","활장어
(먹장어)","후쿠오카현","2016-07-08","2,448","불검출","불검출","적합"
"3","냉장명태","홋카이도","2016-07-08","1,846","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2016-07-08","4,204","불검출","불검출","적합"
"5","냉장병어","오카야마현","2016-07-08","150","불검출","불검출","적합"
"6","냉장갈치","오이타현","2016-07-08","405","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-07-08","13,932","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-07-08","320","불검출","불검출","적합"
"9","냉동다랑어
(남방참다랑어)","인도양","2016-07-08","3,266","불검출","불검출","적합"
"10","냉동멸치","오사카부","2016-07-08","24,000","불검출","불검출","적합"
"11","냉동돔(황돔)","나가사키현","2016-07-08","4,056","불검출","불검출","적합"
"12","활소라","나가사키현","2016-07-08","2,000","불검출","불검출","적합"
"13","냉동가리비
(외투막)","홋카이도","2016-07-08","21,000","불검출","불검출","적합"
