"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","17","-","-","641,078","-","-","-"
"1","냉동가자미(각시가자미) 러시아","","2015-5-29","20,705","불검출","불검출","적합"
"2","냉동다랑어(눈다랑어,F,횟감)","중국","2015-5-29","6,780","불검출","불검출","적합"
"3","냉동가자미(각시가자미) 러시아","","2015-5-29","20,720","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2015-5-29","2,588","불검출","불검출","적합"
"5","냉동가자미","러시아","2015-5-29","288,656","불검출","불검출","적합"
"6","냉동다랑어(황다랑어)","키리바시","2015-5-29","22,790","불검출","불검출","적합"
"7","냉동다랑어(황다랑어)","파퓨아뉴기니","2015-5-29","63,730","불검출","불검출","적합"
"8","냉동대구","러시아","2015-5-29","10,380","불검출","불검출","적합"
"9","냉동곤이(명태)","러시아","2015-5-29","12,600","불검출","불검출","적합"
"10","냉동곤이(명태)","러시아","2015-5-29","1,913","불검출","불검출","적합"
"11","냉동다랑어(황다랑어,S,
포장횟감)","대만","2015-5-29","1,226","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-5-29","3,500","불검출","불검출","적합"
"13","냉동가자미(각시가자미) 러시아","","2015-5-29","21,500","불검출","불검출","적합"
"14","냉동꽁치","대만","2015-5-29","117,010","불검출","불검출","적합"
"15","냉동명태(F)","러시아","2015-5-29","24,000","불검출","불검출","적합"
"16","냉동새우(홍다리얼룩새우) 인도네시아","","2015-5-29","4,585","불검출","불검출","적합"
"17","냉동가자미(각시가자미)","러시아","2015-5-29","18,395","불검출","불검출","적합"
