"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수","","","","","","","","중량(㎏)",""
"합계","343","1,885,294","1","1,680","273","1,822,469","8","4,937","61","56,208"
"5.26","92","364,836","0","0","74","350,924","0","0","18","13,912"
"5.27","102","370,044","1","1,680","83","343,817","0","0","18","24,547"
"5.28","74","83,225","0","0","55","79,063","6","2,222","13","1,940"
"5.29","75","1,067,189","0","0","61","1,048,665","2","2,715","12","15,809"
"","","","","","","","","","",""
