"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:100Bq/kg)","판정"
"16","혼합제제","오사카부","2019-05-17","660","불검출","불검출","적합"
"17","혼합제제","오사카부","2019-07-03","100","불검출","불검출","적합"
"18","프로테아제(곰팡이성)","아이치현","2019-04-10","41","불검출","불검출","적합"
"19","곡류가공품","효고현","","64","불검출","불검출","적합"
"20","합성향료","오카야마현","2019-07-08","30","불검출","불검출","적합"
"21","트랜스글루코시다아제","시가현","2019-04-08","301","불검출","불검출","적합"
"22","가공두부","나가노현","2019-07-11","2,640","불검출","불검출","적합"
"23","절임식품","니가타현","2019-07-09","293","불검출","불검출","적합"
"24","절임식품","와카야마현","2019-07-08","160","불검출","불검출","적합"
"25","절임식품","아이치현","2019-06-25","600","불검출","불검출","적합"
"26","탄산음료","오사카부","2019-05-27","7,200","불검출","불검출","적합"
"27","전분","가고시마현","2018-11-30","55,500","불검출","불검출","적합"
"28","혼합장","나가노현","2019-07-09","15,000","불검출","불검출","적합"
"29","혼합장","나가노현","2019-07-03","5,000","불검출","불검출","적합"
"30","캔디류","아이치현","2019-07-04","63","불검출","불검출","적합"
"31","과자","야마가타현","2019-07-03","192","불검출","불검출","적합"
"32","과자","야마가타현","2019-07-03","210","불검출","불검출","적합"
"33","홍화황색소","오사카부","2019-07-17","30","불검출","불검출","적합"
"34","복합조미식품","오카야마현","2019-07-02","10","불검출","불검출","적합"
"35","복합조미식품","미에현","2019-06-07","30","불검출","불검출","적합"
"36","복합조미식품","미에현","2019-06-05","38","불검출","불검출","적합"
"37","복합조미식품","미에현","2019-06-11","28","불검출","불검출","적합"
"38","복합조미식품","미에현","2019-05-28","8","불검출","불검출","적합"
"39","복합조미식품","미에현","2019-06-06","16","불검출","불검출","적합"
"40","양조간장","지바현","2019-05-29","319","불검출","불검출","적합"
"41","청주","이와테현","2019-04-02","346","불검출","불검출","적합"
"42","청주","니가타현","2019-06-12","1,044","불검출","불검출","적합"
"43","청주","니가타현","2019-04-24","1,140","불검출","불검출","적합"
"44","청주","니가타현","2019-07-05","864","불검출","불검출","적합"
"45","청주","니가타현","2019-07-05","2,160","불검출","불검출","적합"
"46","청주","니가타현","2019-06-17","864","불검출","불검출","적합"
"47","두류가공품","오사카부","2019-06-18","880","불검출","불검출","적합"
"48","두류가공품","오사카부","2019-06-19","880","불검출","불검출","적합"
"49","두류가공품","오사카부","2019-06-19","800","불검출","불검출","적합"
"50","두류가공품","오사카부","2019-06-17","880","불검출","불검출","적합"
