"순번","품목명","제조·생산지","유통기한
(포장일자)","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"합계","","","","16,022","","",""
"1","능이/냉동","중국","(2019.7.7.)","14,418","4","-","적합"
"2","능이/건조","중국","(2019.7.20.)","400","1","-","적합"
"3","능이/건조","중국","2019년 
생산","348","3","-","적합"
"4","잼","스웨덴","2020.10.9.","428","12","불검출","적합"
"5","잼","스웨덴","2020.4.24.","428","3","불검출","적합"
