"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 89건","","","","273,214","","",""
"1","청주","도치기현","2019-06-03","104","불검출","불검출","적합"
"2","과자","니가타현","2019-07-05","882","불검출","불검출","적합"
"3","탄산음료","오사카부","2019-06-24","2,465","불검출","불검출","적합"
"4","소스","도치기현","2019-04-30","12,355","불검출","불검출","적합"
"5","건면","나가사키현","2019-06-24","2,088","불검출","불검출","적합"
"6","건면","나가사키현","2019-06-27","2,817","불검출","불검출","적합"
"7","건면","나가사키현","2019-07-01","2,871","불검출","불검출","적합"
"8","합성향료","효고현","2019-07-05","34","불검출","불검출","적합"
"9","합성향료","가나가와현","2019-07-11","11","불검출","불검출","적합"
"10","혼합제제","효고현","2019-07-05","17","불검출","불검출","적합"
"11","합성향료","효고현","2019-07-05","17","불검출","불검출","적합"
"12","혼합제제","효고현","2019-07-04","85","불검출","불검출","적합"
"13","혼합제제","도쿄도","2019-07-09","1,200","불검출","불검출","적합"
"14","액상차","효고현","2019-07-03","81,131","불검출","불검출","적합"
"15","혼합제제","사이타마현","2019-07-08","500","불검출","불검출","적합"
