"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"처리
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏) 건수","","중량(㎏)",""
"합계","452","1,827,222","2","2,305","326","1,795,764","4","575","120","28,578"
"4.15","128","458,510","0","0","89","450,573","0","0","39","7,937"
"4.16","111","306,259","1","2,277","80","297,261","2","185","28","6,536"
"4.17","112","510,533","1","28","86","502,451","1","90","24","7,964"
"4.18","101","551,920","0","0","71","545,479","1","300","29","6,141"
"","","","","","","","","","",""
