"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 111건","","","","306,259","","",""
"1","과자","후쿠오카현","2019-02-07","131","불검출","불검출","적합"
"2","혼합음료","사이타마현","2019-02-01","1,170","불검출","불검출","적합"
"3","음료베이스","가나가와현","2019-02-25","1,250","불검출","불검출","적합"
"4","음료베이스","가나가와현","2019-01-30","99","불검출","불검출","적합"
"5","당절임","도쿠시마현","2019-02-13","36","불검출","불검출","적합"
"6","발효식초","도쿄도","2019-03-14","288","불검출","불검출","적합"
"7","양조간장","이바라키현","2019-02-27","36","불검출","불검출","적합"
"8","청주","사가현","2019-03-19","173","불검출","불검출","적합"
"9","청주","사가현","2019-03-18","346","불검출","불검출","적합"
"10","청주","사가현","2019-03-19","173","불검출","불검출","적합"
"11","과자","아이치현","2019-02-27","28","불검출","불검출","적합"
"12","과자","이시카와현","2019-03-25","4","불검출","불검출","적합"
"13","청주","교토부","2019-03-26","8,640","불검출","불검출","적합"
"14","빵류","훗카이도","2019-03-04","120","불검출","불검출","적합"
