"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏)","","","","","","","","",""
"합계","286","438,930","0","0","225","334,289","0","0","61","104,641"
"11.3","110","211,729","0","0","84","165,076","0","0","26","46,653"
"11.4","71","138,204","0","0","52","100,897","0","0","19","37,307"
"11.5","105","88,997","0","0","89","68,316","0","0","16","20,681"
"11.6","","","","","","","","","",""
"11.7","","","","","","","","","",""
