"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 178건","","","","403,495","","",""
"1","소스","나가사키현","2018-07-13","9,164","불검출","불검출","적합"
"2","식물성크림","히로시마현","2018-08-18","576","불검출","불검출","적합"
"3","마요네즈","효고현","2018-09-05","1,500","불검출","불검출","적합"
"4","소스","사가현","2018-08-03","900","불검출","불검출","적합"
"5","소스","나가사키현","2018-03-17","3,884","불검출","불검출","적합"
"6","식물성크림","히로시마현","2018-08-17","768","불검출","불검출","적합"
"7","소스","사가현","2018-08-02","450","불검출","불검출","적합"
"8","소스","사가현","2018-08-06","4,050","불검출","불검출","적합"
"9","발효식초","도치기현","2018-07-24","2,486","불검출","불검출","적합"
"10","유탕면","후쿠오카현","2018-08-01","655","불검출","불검출","적합"
"11","소스","군마현","2018-08-17","579","불검출","불검출","적합"
"12","소스","군마현","2018-08-22","2,963","불검출","불검출","적합"
"13","볶은커피","효고현","2018-09-12","3,210","불검출","불검출","적합"
"14","볶은커피","효고현","2018-06-05","67","불검출","불검출","적합"
