"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","580,231","","",""
"1","합성향료","가나가와현","2018-09-25","11","불검출","불검출","적합"
"2","기타식용유지","훗카이도","2018-06-04","112","불검출","불검출","적합"
"3","캔디류","아이치현","2018-08-21","120","불검출","불검출","적합"
"4","청주","이와테현","2018-08-06","259","불검출","불검출","적합"
"5","소스","나가사키현","2018-08-25","560","불검출","불검출","적합"
"6","유탕면","기후현","2018-07-23","58","불검출","불검출","적합"
"7","청주","이와테현","2018-06-05","173","불검출","불검출","적합"
"8","청주","이와테현","2018-08-02","259","불검출","불검출","적합"
"9","카레(커리)","도치기현","2018-08-10","3,795","불검출","불검출","적합"
"10","고형차","도야마현","2018-03-11","1,146","불검출","불검출","적합"
"11","소스","군마현","2018-07-27","508","불검출","불검출","적합"
"12","소스","니가타현","2018-05-17","814","불검출","불검출","적합"
"13","소스","니가타현","2018-07-12","3,384","불검출","불검출","적합"
"14","소스","니가타현","2018-07-11","3,162","불검출","불검출","적합"
