"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건22","-","-","53,966","-","-","-"
"1","냉동전갱이
(F,
포장횟감
)","에히메현","2016-02-29","1,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-02-29","7,000","불검출","불검출","적합"
"3","활돔 벵에돔
(
)","오이타현","2016-02-29","1,992","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-02-29","1,200","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-02-29","2,092","불검출","불검출","적합"
"6","냉장갈치","야마구치현","2016-02-29","400","불검출","불검출","적합"
"7","냉장병어","야마구치현","2016-02-29","210","불검출","불검출","적합"
"8","냉장홍어","야마구치현","2016-02-29","320","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-02-29","2,844","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-02-29","2,826","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-02-29","1,389","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-02-29","7,280","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-02-29","740","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2016-02-29","193","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-02-29","7,280","불검출","불검출","적합"
