"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","16건","-","-","2,001,147","-","-","-"
"1","냉동다랑어(눈다랑어,목살) 중국","","2014-11-20","600","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-11-20","279,708","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-11-20","278,776","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2014-11-20","7,000","불검출","불검출","적합"
"5","냉동상어(청상아리)","대만","2014-11-20","3,431","불검출","불검출","적합"
"6","냉동가자미(첨치가자미,F) 미국","","2014-11-20","22,910","불검출","불검출","적합"
"7","냉동대구(F)","러시아","2014-11-20","5,000","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2014-11-20","9,000","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-11-20","136,773","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-11-20","142,407","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-11-20","290,577","불검출","불검출","적합"
"12","냉동꽁치","대만","2014-11-20","577,976","불검출","불검출","적합"
"13","냉동꽁치","대만","2014-11-20","105,631","불검출","불검출","적합"
"14","냉동상어(청상아리)","대만","2014-11-20","24,408","불검출","불검출","적합"
"15","냉동꽁치","대만","2014-11-20","116,470","불검출","불검출","적합"
"16","냉동다랑어(눈다랑어,F,횟감)","대만","2014-11-20","480","불검출","불검출","적합"
