"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","-","-","2,090,606","-","-","-"
"1","냉동다랑어(눈다랑어,목살,횟감) 대만","","2014-11-21","2,808","불검출","불검출","적합"
"2","냉동대구(목살)","러시아","2014-11-21","8,167","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-11-21","65,408","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-11-21","304,618","불검출","불검출","적합"
"5","냉동명태","러시아","2014-11-21","438,686","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2014-11-21","23,000","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-11-21","238,241","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-11-21","441,541","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-11-21","196,223","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-11-21","371,914","불검출","불검출","적합"
