"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 182건","","","","531,815","","",""
"1","혼합제제","도쿄도","2018-05-24","45","불검출","불검출","적합"
"2","과자","효고현","2018-04-30","40","불검출","불검출","적합"
"3","당류가공품","지바현","2018-04-05","120","불검출","불검출","적합"
"4","캔디류","아이치현","2018-02-27","125","불검출","불검출","적합"
"5","캔디류","아이치현","2018-04-19","220","불검출","불검출","적합"
"6","음료베이스","오사카부","2018-05-16","50","불검출","불검출","적합"
"7","혼합제제","효고현","2018-05-24","17","불검출","불검출","적합"
"8","청주","니가타현","2018-05-25","367","불검출","불검출","적합"
"9","혼합제제","효고현","2018-05-24","17","불검출","불검출","적합"
"10","소주","가고시마현","2018-04-16","248","불검출","불검출","적합"
"11","소주","가고시마현","2018-05-14","65","불검출","불검출","적합"
"12","소주","가고시마현","2018-04-21","86","불검출","불검출","적합"
"13","청주","히로시마현","2018-05-14","104","불검출","불검출","적합"
"14","만두","사가현","2018-04-09","43","불검출","불검출","적합"
"15","청주","도야마현","2018-06-01","259","불검출","불검출","적합"
