"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","891,914","","",""
"1","혼합제제","오카야마현","2018-05-25","125","불검출","불검출","적합"
"2","일반증류주","교토부","2018-02-13","1,620","불검출","불검출","적합"
"3","청주","효고현","2018-03-19","192","불검출","불검출","적합"
"4","청주","교토부","2018-03-13","1,728","불검출","불검출","적합"
"5","청주","야마구치현","2018-05-03","173","불검출","불검출","적합"
"6","청주","야마구치현","2018-05-03","432","불검출","불검출","적합"
"7","청주","야마구치현","2018-05-03","259","불검출","불검출","적합"
"8","과자","니가타현","2018-06-06","918","불검출","불검출","적합"
"9","볶은커피","효고현","2018-05-16","320","불검출","불검출","적합"
"10","볶은커피","효고현","2018-05-28","480","불검출","불검출","적합"
"11","된장","나가노현","2018-05-23","123","불검출","불검출","적합"
"12","혼합장","나가노현","2018-05-24","1,664","불검출","불검출","적합"
"13","혼합장","나가노현","2018-05-23","1,728","불검출","불검출","적합"
"14","즉석조리식품","나가노현","2018-05-16","311","불검출","불검출","적합"
"15","혼합장","나가노현","2018-05-23","6,048","불검출","불검출","적합"
