"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 177건","","","","960,790","","",""
"1","과자","이바라키현","2018-05-15","2,488","불검출","불검출","적합"
"2","α-아밀라아제(세균성)","시가현","2018-05-11","1,141","불검출","불검출","적합"
"3","양조간장","지바현","2018-04-18","126","불검출","불검출","적합"
"4","혼합제제","효고현","2018-05-18","34","불검출","불검출","적합"
"5","혼합제제","효고현","2018-05-17","34","불검출","불검출","적합"
"6","혼합제제","효고현","2018-05-18","51","불검출","불검출","적합"
"7","혼합제제","효고현","2018-05-17","51","불검출","불검출","적합"
"8","혼합제제","효고현","2018-05-29","204","불검출","불검출","적합"
"9","양조간장","효고현","2018-05-17","13,799","불검출","불검출","적합"
"10","양조간장","효고현","2018-05-02","14,602","불검출","불검출","적합"
"11","탄산음료","오이타현","2018-06-01","840","불검출","불검출","적합"
"12","탄산음료","오이타현","2018-05-29","1,680","불검출","불검출","적합"
"13","탄산음료","오이타현","2018-06-01","1,680","불검출","불검출","적합"
"14","청주","나가노현","2018-05-15","216","불검출","불검출","적합"
"15","청주","나가노현","2018-05-15","216","불검출","불검출","적합"
