"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 203건","","","","1,239,819","","",""
"1","청주","효고현","2018-01-22","648","불검출","불검출","적합"
"2","청주","교토부","2018-01-09","202","불검출","불검출","적합"
"3","청주","교토부","2018-01-19","216","불검출","불검출","적합"
"4","소스","지바현","2018-02-13","896","불검출","불검출","적합"
"5","청주","교토부","2018-01-19","86","불검출","불검출","적합"
"6","청주","교토부","2018-01-15","1,050","불검출","불검출","적합"
"7","청주","교토부","2017-12-29","518","불검출","불검출","적합"
"8","혼합제제","시즈오카현","2018-02-09","25","불검출","불검출","적합"
"9","혼합제제","시즈오카현","2018-02-09","25","불검출","불검출","적합"
"10","기타수산물가공품","오카야마현","2017-11-10","1,200","불검출","불검출","적합"
"11","소스","도치기현","2018-01-12","12,355","불검출","불검출","적합"
"12","양조간장","지바현","2018-01-18","527","불검출","불검출","적합"
"13","소스","지바현","2018-01-16","1,320","불검출","불검출","적합"
