"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"113","캔디류","아이치현","2018-02-02","130","불검출","불검출","적합"
"114","캔디류","아이치현","2018-01-16","173","불검출","불검출","적합"
"115","캔디류","아이치현","2018-02-01","136","불검출","불검출","적합"
"116","청국장","훗카이도","2018-02-13","2,970","불검출","불검출","적합"
"117","혼합장","나가노현","2018-01-30","326","불검출","불검출","적합"
"118","혼합장","나가노현","2018-01-24","416","불검출","불검출","적합"
"119","혼합제제","효고현","2018-02-21","34","불검출","불검출","적합"
"120","혼합제제","효고현","2018-02-21","17","불검출","불검출","적합"
"121","혼합제제","효고현","2018-02-23","34","불검출","불검출","적합"
"122","음료베이스","시즈오카현","2017-07-27","33","불검출","불검출","적합"
"123","기타천연착향료","효고현","2018-02-16","60","불검출","불검출","적합"
"124","캔디류","나가노현","2018-01-27","2,246","불검출","불검출","적합"
"125","혼합제제","효고현","2018-02-15","30","불검출","불검출","적합"
"126","커피/건조","콜롬비아","2017-10-31","2,450","불검출","불검출","적합"
"127","혼합제제","오사카부","2018-02-01","10","불검출","불검출","적합"
"128","기타천연착향료","효고현","2018-02-16","90","불검출","불검출","적합"
"129","혼합제제","효고현","2018-02-16","30","불검출","불검출","적합"
