"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 153건","","","","888,513","","",""
"1","빵류","히로시마현","2018-06-02","111","불검출","불검출","적합"
"2","과자","아이치현","2018-05-17","176","불검출","불검출","적합"
"3","과자","아이치현","2018-05-14","99","불검출","불검출","적합"
"4","양조간장","아이치현","2018-05-23","972","불검출","불검출","적합"
"5","기타 수산물가공품","히로시마현","2018-06-01","24","불검출","불검출","적합"
"6","기타 수산물가공품","히로시마현","2018-06-01","32","불검출","불검출","적합"
"7","빵류","히로시마현","2018-06-02","52","불검출","불검출","적합"
"8","빵류","히로시마현","2018-06-02","58","불검출","불검출","적합"
"9","청주","나라현","2018-06-08","432","불검출","불검출","적합"
"10","맥주","후쿠오카현","2018-05-25","39,000","불검출","불검출","적합"
"11","소스","구마모토현","2018-06-13","552","불검출","불검출","적합"
"12","소스","히로시마현","2018-03-19","72","불검출","불검출","적합"
"13","밀크초콜릿","아이치현","2018-05-15","183","불검출","불검출","적합"
"14","초콜릿가공품","니가타현","2018-05-22","585","불검출","불검출","적합"
"15","과자","니가타현","2018-05-23","79","불검출","불검출","적합"
