"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 114건","","","","124,460","","",""
"1","청주","사가현","2018-05-19","173","불검출","불검출","적합"
"2","혼합제제","효고현","2018-06-11","60","불검출","불검출","적합"
"3","혼합제제","효고현","2018-06-13","15","불검출","불검출","적합"
"4","혼합제제","효고현","2018-06-04","45","불검출","불검출","적합"
"5","합성향료","히로시마현","2018-05-14","60","불검출","불검출","적합"
"6","혼합제제","이바라키현","2018-05-16","60","불검출","불검출","적합"
"7","혼합제제","이바라키현","2018-05-16","270","불검출","불검출","적합"
"8","혼합제제","히로시마현","2018-05-16","60","불검출","불검출","적합"
"9","혼합제제","히로시마현","2018-05-16","105","불검출","불검출","적합"
"10","캔디류","후쿠오카현","2018-06-06","2,250","불검출","불검출","적합"
"11","캔디류","후쿠오카현","2018-05-16","2,250","불검출","불검출","적합"
"12","캔디류","후쿠오카현","2018-06-05","2,250","불검출","불검출","적합"
"13","활성탄","기후현","2018-06-12","300","불검출","불검출","적합"
"14","활성탄","기후현","2018-06-06","800","불검출","불검출","적합"
"15","활성탄","기후현","2018-06-04","500","불검출","불검출","적합"
