"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 132건","","","","902,960","","",""
"1","맥주","사이타마현","2017-08-16","575","불검출","불검출","적합"
"2","위스키","야마나시현","2017-08-17","108","불검출","불검출","적합"
"3","청주","효고현","2017-08-22","405","불검출","불검출","적합"
"4","청주","이와테현","2017-09-01","605","불검출","불검출","적합"
"5","국수","구마모토현","2017-08-25","1,022","불검출","불검출","적합"
"6","국수","구마모토현","2017-08-25","598","불검출","불검출","적합"
"7","청주","이와테현","2017-09-01","612","불검출","불검출","적합"
"8","냉면","구마모토현","2017-08-02","4,816","불검출","불검출","적합"
"9","냉면","구마모토현","2017-08-24","230","불검출","불검출","적합"
"10","청주","이와테현","2017-09-01","220","불검출","불검출","적합"
