"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"11","냉면","구마모토현","2017-08-01","306","불검출","불검출","적합"
"12","청주","이와테현","2017-07-26","91","불검출","불검출","적합"
"13","국수","구마모토현","2017-08-10","300","불검출","불검출","적합"
"14","청주","이와테현","2017-08-21","95","불검출","불검출","적합"
"15","청주","이와테현","2017-09-01","216","불검출","불검출","적합"
"16","청주","이와테현","2017-08-18","43","불검출","불검출","적합"
"17","위스키","야마나시현","2017-08-24","88","불검출","불검출","적합"
"18","과실주","야마나시현","2017-08-16","104","불검출","불검출","적합"
"19","과실주","야마나시현","2017-06-22","108","불검출","불검출","적합"
"20","과실주","야마나시현","2015-02-24","180","불검출","불검출","적합"
"21","청주","교토부","2017-08-04","1,200","불검출","불검출","적합"
"22","곡류가공품","후쿠오카현","2017-08-30","3,220","불검출","불검출","적합"
"23","소스류","후쿠오카현","2017-08-29","6,252","불검출","불검출","적합"
"24","맥주","오이타현","2017-08-04","165,600","불검출","불검출","적합"
"25","천연향신료","도치기현","2017-07-28","50","불검출","불검출","적합"
"26","기타가공품","기후현","(2019-07-30)","61","불검출","불검출","적합"
"27","캔디류(캐러멜)","도치기현","2017-08-04","6,825","불검출","불검출","적합"
"28","과자(쿠키)","군마현","2017-08-01","226","불검출","불검출","적합"
"29","과자(쿠키)","군마현","2017-08-10","71","불검출","불검출","적합"
"30","캔디류(사탕)","도야마현","2017-07-18","139","불검출","불검출","적합"
"31","당류가공품","시즈오카현","2017-08-04","80","불검출","불검출","적합"
"32","곡류가공품","아이치현","2017-08-16","864","불검출","불검출","적합"
"33","맥주","후쿠오카현","2017-08-29","83,916","불검출","불검출","적합"
"34","캔디류(사탕)","아이치현","2017-08-18","360","불검출","불검출","적합"
"35","캔디류(사탕)","아이치현","2017-08-21","317","불검출","불검출","적합"
