"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"39","소스류","교토부","2017-08-25","2,460","불검출","불검출","적합"
"40","소스류","교토부","2017-08-22","1,750","불검출","불검출","적합"
"41","소스류","교토부","2017-08-09","3,080","불검출","불검출","적합"
"42","과자(스낵과자)","아이치현","2017-08-21","151","불검출","불검출","적합"
"43","과자(비스킷)","니가타현","2017-08-21","269","불검출","불검출","적합"
"44","캔디류(사탕)","아이치현","2017-09-06","240","불검출","불검출","적합"
"45","캔디류(젤리)","아이치현","2017-09-05","3,672","불검출","불검출","적합"
"46","캔디류(젤리)","아이치현","2017-09-04","3,240","불검출","불검출","적합"
"47","된장","나가노현","2017-09-06","1,000","불검출","불검출","적합"
"48","향신료조제품(고
추냉이가공품)","미야기현","2017-07-14","3,465","불검출","불검출","적합"
"49","청주","지바현","2017-08-01","209","불검출","불검출","적합"
"50","청주","효고현","2017-07-04","108","불검출","불검출","적합"
"51","청주","지바현","2017-08-01","130","불검출","불검출","적합"
"52","청주","효고현","2017-07-05","216","불검출","불검출","적합"
"53","혼합제제","시가현","2017-09-06","50","불검출","불검출","적합"
"54","건어포류","가고시마현","2017-08-24","100","불검출","불검출","적합"
"55","이.디.티.에이.칼슘
이나트륨","와카야마현","2017-04-12","100","불검출","불검출","적합"
"56","맥주","오이타현","2017-08-21","29,520","불검출","불검출","적합"
"57","과자(한과류)","나가노현","2017-08-24","442","불검출","불검출","적합"
"58","과자(크래커)","아이치현","2017-09-06","990","불검출","불검출","적합"
"59","과자(스낵과자)","아이치현","2017-08-04","164","불검출","불검출","적합"
"60","건어포류","가고시마현","2017-08-24","813","불검출","불검출","적합"
"61","빵류(그외 빵류)","훗카이도","2017-08-08","180","불검출","불검출","적합"
"62","밀크초콜릿","가나가와현","2017-04-04","1,257","불검출","불검출","적합"
"63","양조간장","지바현","2017-07-14","527","불검출","불검출","적합"
"64","양조간장","지바현","2017-08-07","379","불검출","불검출","적합"
"65","어묵","사가현","2017-08-01","700","불검출","불검출","적합"
