"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"87","카레","나가노현","2017-08-05","1,198","불검출","불검출","적합"
"88","청주","지바현","2017-07-25","173","불검출","불검출","적합"
"89","혼합제제","지바현","2017-08-23","700","불검출","불검출","적합"
"90","과자(스낵과자)","아이치현","2017-08-22","238","불검출","불검출","적합"
"91","합성착향료","오사카부","2017-08-28","150","불검출","불검출","적합"
"92","과자(스낵과자)","시가현","2017-08-21","238","불검출","불검출","적합"
"93","카레","나가노현","2017-08-18","1,198","불검출","불검출","적합"
"94","혼합제제","오카야마현","2017-09-05","15","불검출","불검출","적합"
"95","혼합제제","오카야마현","2017-09-04","75","불검출","불검출","적합"
"96","과자(스낵과자)","아이치현","2017-08-21","144","불검출","불검출","적합"
"97","혼합제제","오사카부","2017-08-31","90","불검출","불검출","적합"
"98","기타천연착향료","오사카부","2017-08-31","65","불검출","불검출","적합"
"99","청주","야마가타현","2017-08-01","130","불검출","불검출","적합"
"100","청주","와카야마현","2017-09-11","367","불검출","불검출","적합"
"101","청주","고치현","2017-09-01","173","불검출","불검출","적합"
"102","청주","도쿠시마현","2017-09-01","149","불검출","불검출","적합"
"103","소주","효고현","2017-07-28","86","불검출","불검출","적합"
"104","청주","야마가타현","2017-08-25","86","불검출","불검출","적합"
"105","캔디류(젤리)","나가노현","2017-08-28","2,296","불검출","불검출","적합"
"106","청주","아키타현","2017-09-01","173","불검출","불검출","적합"
"107","청주","도쿠시마현","2017-09-01","139","불검출","불검출","적합"
"108","복합조미식품","교토부","2017-08-07","500","불검출","불검출","적합"
"109","수산물가공품","효고현","2017-08-30","7,200","불검출","불검출","적합"
"110","수산물가공품","효고현","2017-08-29","546","불검출","불검출","적합"
"111","수산물가공품","효고현","2017-08-22","360","불검출","불검출","적합"
