"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"119","청주","이바라키현","2017-08-29","518","불검출","불검출","적합"
"120","청주","니가타현","2017-08-04","173","불검출","불검출","적합"
"121","청주","니가타현","2017-08-25","180","불검출","불검출","적합"
"123","청주","야마가타현","2017-08-25","540","불검출","불검출","적합"
"124","청주","니가타현","2017-08-25","1,037","불검출","불검출","적합"
"125","청주","야마가타현","2017-08-25","151","불검출","불검출","적합"
"126","기타가공품","시즈오카현","2016-06-20","2,330","불검출","불검출","적합"
"127","캔디류(사탕)","후쿠시마현","2017-08-09","1,182","불검출","불검출","적합"
"128","청주","고치현","2017-09-01","130","불검출","불검출","적합"
"129","청주","니가타현","2017-08-25","259","불검출","불검출","적합"
"130","캔디류(사탕)","후쿠시마현","2017-08-23","1,368","불검출","불검출","적합"
"131","청주","고치현","2017-09-01","72","불검출","불검출","적합"
"132","청주","니가타현","2017-08-25","1,054","불검출","불검출","적합"
"133","청주","아키타현","2017-09-11","605","불검출","불검출","적합"
"134","청주","니가타현","2017-08-30","648","불검출","불검출","적합"
"135","청주","니가타현","2017-08-29","1,296","불검출","불검출","적합"
"136","청주","니가타현","2017-08-25","518","불검출","불검출","적합"
"137","과자(스낵과자)","효고현","2017-09-05","4,440","불검출","불검출","적합"
"138","전분","가고시마현","2016-11-29","18,500","불검출","불검출","적합"
"139","커피/건조","라오스
(수출국:일본)","2017-02-06","102,755","불검출","불검출","적합"
"140","혼합제제","오사카부","2017-06-28","15","불검출","불검출","적합"
"141","전분","가고시마현","2016-11-30","18,500","불검출","불검출","적합"
"142","혼합제제","나가노현","2017-08-31","250","불검출","불검출","적합"
"143","혼합제제","오사카부","2017-09-06","17","불검출","불검출","적합"
"144","혼합제제","오사카부","2017-09-06","17","불검출","불검출","적합"
"145","혼합제제","오사카부","2017-09-06","17","불검출","불검출","적합"
"146","혼합제제","오사카부","2017-09-06","17","불검출","불검출","적합"
