"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"21","냉장홍어","홋카이도","2017-09-21","7,574","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2017-09-21","2,200","불검출","불검출","적합"
"23","활전복","나가사키현","2017-09-21","91","불검출","불검출","적합"
"24","냉장돔(참돔)","후쿠오카현","2017-09-21","220","불검출","불검출","적합"
"25","냉동다랑어(눈다랑어,목살)","대서양","2017-09-21","1,054","불검출","불검출","적합"
"26","냉동다랑어(눈다랑어,F,횟감)","인도양","2017-09-21","10","불검출","불검출","적합"
"27","냉동다랑어(눈다랑어,F,횟감)","태평양","2017-09-21","108","불검출","불검출","적합"
"28","냉장명태","홋카이도","2017-09-21","3,168","불검출","불검출","적합"
"29","활게(참게)","후쿠오카현","2017-09-21","840","불검출","불검출","적합"
"30","냉동다랑어(남방참다랑어,목살)","대서양","2017-09-21","403","불검출","불검출","적합"
"합계","","-","-","117,831","-","-","-"
