"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"66","어묵","사가현","2017-08-01","1,440","불검출","불검출","적합"
"67","어묵","사가현","2017-08-01","840","불검출","불검출","적합"
"68","어묵","사가현","2017-08-01","2,638","불검출","불검출","적합"
"69","어묵","사가현","2017-08-01","1,080","불검출","불검출","적합"
"70","건어포류","에히메현","2017-08-18","540","불검출","불검출","적합"
"71","볶은커피","오사카부","2017-06-23","2,661","불검출","불검출","적합"
"72","스피루리나 제품","도야마현","2017-07-24","612","불검출","불검출","적합"
"73","합성착향료","가나가와현","2017-09-06","6","불검출","불검출","적합"
"74","합성착향료","가나가와현","2017-09-06","6","불검출","불검출","적합"
"75","합성착향료","가나가와현","2017-09-06","6","불검출","불검출","적합"
"76","액상커피","미에현","2017-07-13","1,620","불검출","불검출","적합"
"77","볶은커피","미에현","2017-07-05","67","불검출","불검출","적합"
"78","고형차","효고현","2017-08-31","1,500","불검출","불검출","적합"
"79","혼합제제","오카야마현","2017-05-31","150","불검출","불검출","적합"
"80","추출식품","에히메현","2017-09-06","1,840","불검출","불검출","적합"
"81","기타가공품","이바라키현","2017-08-24","16,200","불검출","불검출","적합"
"82","커피/건조","브라질
(수출국:일본)","2014-12-10","3,000","불검출","불검출","적합"
"83","커피/건조","브라질
(수출국:일본)","2014-12-10","1,500","불검출","불검출","적합"
"84","향신료조제품
(고추냉이가공품)","나가노현","2017-08-04","129","불검출","불검출","적합"
"85","캔디류(사탕)","미에현","2017-08-24","1,901","불검출","불검출","적합"
"86","캔디류(사탕)","미에현","2017-08-24","256","불검출","불검출","적합"
"87","프로테아제
(세균성)","효고현","2017-08-04","240","불검출","불검출","적합"
"88","혼합제제","도치기현","2017-08-17","135","불검출","불검출","적합"
"89","탄산음료","오사카부","2017-09-01","2,465","불검출","불검출","적합"
"90","기타가공품","히로시마현","2017-07-09","2,000","불검출","불검출","적합"
"91","과.채가공품","나가노현","2017-08-28","274","불검출","불검출","적합"
