"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"11","볶은커피","시즈오카현","2017-07-12","173","불검출","불검출","적합"
"12","볶은커피","시즈오카현","2017-08-09","173","불검출","불검출","적합"
"13","빵류(그외 빵류)","훗카이도","2017-08-19","234","불검출","불검출","적합"
"14","빵류(그외 빵류)","훗카이도","2017-07-21","78","불검출","불검출","적합"
"15","화이트초콜릿","가나가와현","2017-08-23","672","불검출","불검출","적합"
"16","양조간장","지바현","2017-08-08","3,159","불검출","불검출","적합"
"17","양조간장","지바현","2017-09-02","951","불검출","불검출","적합"
"18","소스류","지바현","2017-08-08","135","불검출","불검출","적합"
"19","소스류","지바현","2017-07-21","2,925","불검출","불검출","적합"
"20","청주","도치기현","2017-08-21","15,876","불검출","불검출","적합"
"21","초콜릿가공품","훗카이도","2017-08-31","146","불검출","불검출","적합"
"22","빵류(그외 빵류)","훗카이도","2017-08-20","576","불검출","불검출","적합"
"23","소스류","시즈오카현","2017-08-07","150","불검출","불검출","적합"
"24","소스류","시즈오카현","2017-07-26","1,200","불검출","불검출","적합"
"25","소스류","시즈오카현","2017-07-24","150","불검출","불검출","적합"
"26","혼합제제","오카야마현","2017-09-01","45","불검출","불검출","적합"
"27","기타어육가공품","훗카이도","2017-08-29","75","불검출","불검출","적합"
"28","폴리글리세린
지방산에스테르","미에현","2017-01-04","306","불검출","불검출","적합"
"29","자당지방산에스테르","미에현","2017-05-29","2,880","불검출","불검출","적합"
"30","자당지방산에스테르","미에현","2017-05-10","3,600","불검출","불검출","적합"
"31","자당지방산에스테르","미에현","2017-05-16","2,160","불검출","불검출","적합"
"32","과.채음료","후쿠오카현","2017-08-12","23","불검출","불검출","적합"
"33","소스류","구마모토현","2017-07-19","216","불검출","불검출","적합"
"34","캔디류(사탕)","후쿠시마현","2017-08-25","353","불검출","불검출","적합"
"35","과.채음료","후쿠오카현","2017-08-08","23","불검출","불검출","적합"
"36","과자(크래커)","아이치현","2017-08-07","23","불검출","불검출","적합"
"37","과자(스낵과자)","아이치현","2017-08-01","99","불검출","불검출","적합"
