"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"11","카레","니가타현","2017-07-06","400","불검출","불검출","적합"
"12","소스류","사이타마현","2017-07-15","101","불검출","불검출","적합"
"13","카레분","사이타마현","2017-05-09","160","불검출","불검출","적합"
"14","향신료조제품(겨
자가공품)","사이타마현","2017-06-16","180","불검출","불검출","적합"
"15","곡류가공품","오사카부","2017-07-22","600","불검출","불검출","적합"
"16","청주","돗토리현","2017-08-21","173","불검출","불검출","적합"
"17","기타주류","히로시마현","2017-05-19","428","불검출","불검출","적합"
"18","리큐르","히로시마현","2017-06-16","1,180","불검출","불검출","적합"
"19","청주","사이타마현","2017-07-20","799","불검출","불검출","적합"
"20","청주","사가현","2017-08-23","130","불검출","불검출","적합"
"21","청주","이바라키현","2017-07-13","138","불검출","불검출","적합"
"22","청주","기후현","2017-08-10","886","불검출","불검출","적합"
"23","국수","사이타마현","2017-08-24","1,800","불검출","불검출","적합"
"24","기타가공품(참깨분)","미에현","2017-08-01","144","불검출","불검출","적합"
"25","과자(스낵과자)","아이치현","2017-08-18","141","불검출","불검출","적합"
"26","과자(스낵과자)","아이치현","2017-08-07","40","불검출","불검출","적합"
"27","양조간장","아이치현","2017-08-17","2,160","불검출","불검출","적합"
"28","냉면","가가와현","2017-09-02","7,038","불검출","불검출","적합"
"29","냉면","가가와현","2017-09-02","540","불검출","불검출","적합"
"30","국수","사이타마현","2017-08-24","1,800","불검출","불검출","적합"
"31","양조간장","지바현","2017-07-09","1,253","불검출","불검출","적합"
"32","어묵","시마네현","2017-07-21","4,680","불검출","불검출","적합"
"33","청주","이와테현","2016-12-14","22","불검출","불검출","적합"
"34","맥주","오이타현","2017-08-04","82,110","불검출","불검출","적합"
"35","맥주","오이타현","2017-08-17","115,506","불검출","불검출","적합"
"36","소스류","교토부","2017-08-25","2,394","불검출","불검출","적합"
"37","소스류","교토부","2017-08-25","2,394","불검출","불검출","적합"
"38","소스류","교토부","2017-08-25","2,286","불검출","불검출","적합"
