"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","77,367","-","-","-"
"1","활돔(쥐돔)","나가사키현","2016-08-18","2,305","불검출","불검출","적합"
"2","냉동다랑어
(눈다랑어,F,횟감)","태평양","2016-08-18","1,165","불검출","불검출","적합"
"3","냉장명태","홋카이도","2016-08-18","1,923","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2016-08-18","210","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-08-18","3,700","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2016-08-18","2,358","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-08-18","2,976","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-08-18","2,964","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-08-18","143","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-08-18","576","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-08-18","1,918","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-08-18","1,008","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-08-18","422","불검출","불검출","적합"
"14","활장어(먹장어)","나가사키현","2016-08-18","496","불검출","불검출","적합"
