"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","121,460","-","-","-"
"1","활돔(참돔)","에히메현","2016-08-17","1,983","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-08-17","5,649","불검출","불검출","적합"
"3","활전갱이
(흑점줄전갱이)","에히메현","2016-08-17","915","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-08-17","4,397","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-08-17","17,430","불검출","불검출","적합"
"6","활돔(참돔)","에히메현","2016-08-17","2,905","불검출","불검출","적합"
"7","활돔(참돔)","에히메현","2016-08-17","6,638","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-08-17","14,100","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-08-17","1,642","불검출","불검출","적합"
"10","냉장돔(황돔)","후쿠오카현","2016-08-17","75","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-08-17","1,213","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-08-17","7,265","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-08-17","7,275","불검출","불검출","적합"
"14","활가리비","홋카이도","2016-08-17","7,238","불검출","불검출","적합"
