"순번","품목명","제조·생산지","제조일자","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 76건","","","","287,708","","",""
"1","청주","니가타현","2017-03-07","778","불검출","불검출","적합"
"2","카레","효고현","2017-03-15","4,380","불검출","불검출","적합"
"3","인스턴트커피","군마현","2016-12-03","1,512","불검출","불검출","적합"
"4","인스턴트커피","미에현","2016-10-30","672","불검출","불검출","적합"
"5","인스턴트커피","오사카부","2017-02-16","180","불검출","불검출","적합"
"6","복합조미식품","구마모토현","2017-03-27","486","불검출","불검출","적합"
"7","물엿","태국
(수출국: 일본)","2016-12-07","10,076","불검출","불검출","적합"
"8","소스류","훗카이도","2017-03-13","1,000","불검출","불검출","적합"
"9","혼합제제","사이타마현","2017-03-30","80","불검출","불검출","적합"
