"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,192,441","-","-","-"
"1","냉동다랑어(황다
랑어,F,횟감)","중국","2017-04-12","146","불검출","불검출","적합"
"2","냉동다랑어(눈다
랑어,목살)","대만","2017-04-12","2,018","불검출","불검출","적합"
"3","냉동명태","러시아","2017-04-12","796,489","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2017-04-12","7,290","불검출","불검출","적합"
"5","냉동가자미(각시
가자미)","러시아","2017-04-12","21,350","불검출","불검출","적합"
"6","냉동어란(명란)","러시아","2017-04-12","92","불검출","불검출","적합"
"7","냉동동자개","방글라데시 2017-04-12","","928","불검출","불검출","적합"
"8","냉동명태","러시아","2017-04-12","305,085","불검출","불검출","적합"
"9","냉동명태","러시아","2017-04-12","25,518","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2017-04-12","22,600","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2017-04-12","10,925","불검출","불검출","적합"
