"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건10","-","-","1,827,873","-","-","-"
"1","냉동꽁치","대만","2015-11-16","274,458","불검출","불검출","적합"
"2","냉동대구 목살(
)","러시아","2015-11-16","9,435","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-11-16","206,210","불검출","불검출","적합"
"4","냉동꽁치","대만","2015-11-16","252,175","불검출","불검출","적합"
"5","냉동가자미 각시(
가자미)","러시아","2015-11-16","23,090","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-11-16","215,725","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-11-16","236,647","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-11-16","138,820","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-11-16","186,528","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-11-16","284,785","불검출","불검출","적합"
